4 50 0.157982
0.671875 0.046875 0.046875 0.906250 
0.984375 0.421875 0.203125 0.062500 
0.187500 0.359375 0.078125 0.250000 
0.609375 0.453125 0.218750 0.437500 
0.828125 0.921875 0.093750 0.390625 
0.031250 0.625000 0.250000 0.812500 
0.796875 0.343750 0.484375 0.312500 
0.312500 0.687500 0.515625 0.203125 
0.390625 0.578125 0.765625 0.781250 
0.000000 0.437500 0.562500 0.546875 
0.937500 0.906250 0.843750 0.640625 
0.375000 0.000000 0.359375 0.671875 
0.437500 0.203125 0.656250 0.593750 
0.812500 0.390625 0.687500 0.812500 
0.578125 0.125000 0.531250 0.171875 
0.140625 0.859375 0.171875 0.609375 
0.531250 0.093750 0.484375 0.984375 
0.562500 0.671875 0.093750 0.515625 
0.890625 0.296875 0.937500 0.937500 
0.453125 0.484375 0.062500 0.125000 
0.750000 0.609375 0.375000 0.875000 
0.109375 0.500000 0.046875 0.328125 
0.046875 0.828125 0.656250 0.468750 
0.171875 0.062500 0.812500 0.750000 
0.015625 0.968750 0.781250 0.046875 
0.546875 0.531250 0.890625 0.015625 
0.421875 0.765625 0.453125 0.109375 
0.781250 0.796875 0.000000 0.031250 
0.250000 0.156250 0.125000 0.859375 
0.625000 0.281250 0.953125 0.187500 
0.921875 0.734375 0.640625 0.140625 
0.484375 0.718750 0.968750 0.453125 
0.203125 0.640625 0.500000 0.578125 
0.359375 0.328125 0.640625 0.921875 
0.875000 0.234375 0.531250 0.281250 
0.687500 0.843750 0.281250 0.406250 
0.078125 0.250000 0.343750 0.000000 
0.296875 0.890625 0.250000 0.703125 
0.125000 0.562500 0.765625 0.078125 
0.062500 0.953125 0.921875 0.968750 
0.500000 0.765625 0.796875 0.656250 
0.734375 0.875000 0.406250 0.843750 
0.640625 0.687500 0.203125 0.718750 
0.328125 0.218750 0.921875 0.343750 
0.765625 0.015625 0.609375 0.375000 
0.953125 0.937500 0.328125 0.796875 
0.234375 0.031250 0.234375 0.234375 
0.703125 0.093750 0.734375 0.734375 
0.265625 0.406250 0.375000 0.265625 
0.859375 0.156250 0.812500 0.531250 
